[000] Created - 11:37:54.022349: Large marble: Sure Shot, marbles: ['White Smoke', 'Honeydew', 'Arylide Yellow', 'Liver Chestnut', 'Big Dip O’ruby', 'Dark Moss Green', 'Chinese Red']
[001] Created - 11:37:54.258954: Large marble: 5-Star, marbles: ['Sage', 'Zomp', 'Spanish Carmine', 'Thulian Pink', 'Green', 'Icterine', 'Ivory']
[002] Created - 11:37:54.368664: Large marble: Apollo, marbles: ['Mulberry', 'Neon Silver', 'Fiery Rose', 'Orange Peel', 'Fiery Rose', 'Royal Orange', 'Sheen Green']
[003] Created - 11:37:54.480001: Large marble: Lucky, marbles: ['Sage', 'Blue', 'Maximum Blue', 'Antique Brass', 'Mint Green', 'Isabelline', 'Icterine']
[004] Created - 11:37:54.591006: Large marble: Sure Shot, marbles: ['Mint Cream', 'Mint Cream', 'Gold', 'Pale Goldenrod', 'Fiery Rose', 'Royal Orange', 'Mulberry']
[005] Created - 11:37:54.701937: Large marble: 5-Star, marbles: ['Ivory', 'Spanish Pink', 'Granny Smith Apple', 'Lemon Lime', 'White Smoke', 'Silver Chalice', 'Spanish Orange']
[006] Created - 11:37:54.813830: Large marble: 5-Star, marbles: ['Mint Green', 'Royal Orange', 'Auburn', 'Mango Tango', 'Lavender Purple', 'Antique Bronze', 'Pastel Gray']
[007] Created - 11:37:54.925921: Large marble: Sure Shot, marbles: ['Granny Smith Apple', 'Gold', 'Honeydew', 'Dark Fuchsia', 'Safety Yellow', 'Candy Pink', 'Neon Pink']
[008] Created - 11:37:55.037254: Large marble: 5-Star, marbles: ['Neon Silver', 'Fiery Rose', 'Dark Fuchsia', 'Pale Goldenrod', 'Ruby', 'Beaver', 'Big Dip O’ruby']
[009] Created - 11:37:55.147854: Large marble: Winner, marbles: ['Indigo', 'Safety Yellow', 'Mode Beige', 'Duke Blue', 'La Salle Green', 'Bistre Brown', 'Almond']
[010] Created - 11:37:55.258071: Large marble: Apollo, marbles: ['Middle Red Purple', 'Terra Cotta', 'Icterine', 'Slate Blue', 'Mulberry', 'Bistre Brown', 'Russian Violet']
[011] Created - 11:37:55.369508: Large marble: Sure Shot, marbles: ['Dark Moss Green', 'Spanish Orange', 'Beaver', 'Mode Beige', 'Cotton Candy', 'Orange Peel', 'Icterine']
[012] Created - 11:37:55.481504: Large marble: 5-Star, marbles: ['Russian Violet', 'Slate Blue', 'Candy Pink', 'Emerald', 'Silver Pink', 'Outrageous Orange', 'Candy Pink']
[013] Created - 11:37:55.591503: Large marble: Spinner, marbles: ['Orange Peel', 'Orange Peel', 'Pastel Gray', 'Light Orchid', 'Orange Soda', 'Liver Chestnut', 'Lavender Blue']
[014] Created - 11:37:55.701137: Large marble: Sure Shot, marbles: ['Mode Beige', 'Pastel Blue', 'Purple Plum', 'Maximum Blue', 'Spanish Carmine', 'Arylide Yellow', 'Green']
[015] Created - 11:37:55.811650: Large marble: Sure Shot, marbles: ['Indigo', 'Middle Red Purple', 'Mulberry', 'Emerald', 'Cobalt Blue', 'Thulian Pink', 'Arylide Yellow']
[016] Created - 11:37:55.923642: Large marble: Sure Shot, marbles: ['Auburn', 'Arylide Yellow', 'Royal Orange', 'Bistre Brown', 'Gold', 'Neon Silver', 'Candy Pink']
[017] Created - 11:37:56.033528: Large marble: The Boss, marbles: ['Lemon Lime', 'Icterine', 'Antique Bronze', 'Safety Yellow', 'Sheen Green', 'Antique Bronze', 'Granny Smith Apple']
[018] Created - 11:37:56.145291: Large marble: 5-Star, marbles: ['Blue', 'Rose Dust', 'Antique Brass', 'Lavender Blue', 'Dark Moss Green', 'Pastel Gray', 'Spanish Pink']
[019] Created - 11:37:56.253274: Large marble: Spinner, marbles: ['Brink Pink', 'Mulberry', 'Neon Pink', 'Pale Taupe', 'Lumber', 'Eerie Black', 'Vegas Gold']
[020] Created - 11:37:56.363344: Large marble: Zeus, marbles: ['Golden Yellow', 'Spanish Carmine', 'Safety Yellow', 'Spanish Orange', 'Middle Red Purple', 'Royal Orange', 'La Salle Green']
[021] Created - 11:37:56.475341: Large marble: 5-Star, marbles: ['Neon Dark Green', 'Dark Fuchsia', 'Dark Moss Green', 'Dark Moss Green', 'Royal Orange', 'Green', 'Blue']
[022] Created - 11:37:56.587338: Large marble: Spinner, marbles: ['Silver Chalice', 'Shandy', 'Neon Pink', 'Slate Blue', 'Mimi Pink', 'Antique Brass', 'Vegas Gold']
[023] Created - 11:37:56.698331: Large marble: Winner, marbles: ['Arylide Yellow', 'Mulberry', 'Chinese Red', 'Maximum Blue', 'Pale Goldenrod', 'Green', 'Dark Fuchsia']
[024] Created - 11:37:56.810336: Large marble: Apollo, marbles: ['Auburn', 'Icterine', 'Ivory', 'Antique Brass', 'Middle Green', 'Pastel Blue', 'Russian Green']
[025] Created - 11:37:56.922338: Large marble: Winner, marbles: ['Duke Blue', 'Indigo', 'Royal Orange', 'Mode Beige', 'Slate Blue', 'Neon Silver', 'Silver Pink']
[026] Created - 11:37:57.034338: Large marble: Apollo, marbles: ['Pale Plum', 'Arylide Yellow', 'Blue Bell', 'Mode Beige', 'Ivory', 'Blue', 'Royal Orange']
[027] Created - 11:37:57.145344: Large marble: Sure Shot, marbles: ['Maximum Purple', 'Chinese Red', 'Fiery Rose', 'Blue', 'Eerie Black', 'Pastel Gray', 'Neon Dark Green']
[028] Created - 11:37:57.255637: Large marble: Spinner, marbles: ['Zomp', 'Tuscan Brown', 'La Salle Green', 'Platinum', 'Spanish Carmine', 'Eerie Black', 'Honeydew']
[029] Created - 11:37:57.367665: Large marble: Zeus, marbles: ['Mint Cream', 'Antique Brass', 'Cobalt Blue', 'Brink Pink', 'Safety Yellow', 'Maximum Blue', 'Light Orchid']
[030] Created - 11:37:57.479168: Large marble: Sure Shot, marbles: ['Cotton Candy', 'Candy Pink', 'Spanish Carmine', 'Ivory', 'Bistre Brown', 'Vegas Gold', 'Lumber']
